Condition	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8	TaskObject#9	TaskObject#10	TaskObject#11
11	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim101.png,-2.00,-2.00,432.47,432.47)	pic(stim102.png,-2.00,-2.00,432.47,432.47)	pic(stim103.png,-2.00,-2.00,432.47,432.47)	pic(stim104.png,-2.00,-2.00,432.47,432.47)	pic(stim105.png,-2.00,-2.00,432.47,432.47)	pic(stim106.png,-2.00,-2.00,432.47,432.47)	pic(stim107.png,-2.00,-2.00,432.47,432.47)	pic(stim108.png,-2.00,-2.00,432.47,432.47)	pic(stim109.png,-2.00,-2.00,432.47,432.47)	pic(stim110.png,-2.00,-2.00,432.47,432.47)
12	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim111.png,-2.00,-2.00,432.47,432.47)	pic(stim112.png,-2.00,-2.00,432.47,432.47)	pic(stim113.png,-2.00,-2.00,432.47,432.47)	pic(stim114.png,-2.00,-2.00,432.47,432.47)	pic(stim115.png,-2.00,-2.00,432.47,432.47)	pic(stim116.png,-2.00,-2.00,432.47,432.47)	pic(stim117.png,-2.00,-2.00,432.47,432.47)	pic(stim118.png,-2.00,-2.00,432.47,432.47)	pic(stim119.png,-2.00,-2.00,432.47,432.47)	pic(stim120.png,-2.00,-2.00,432.47,432.47)
13	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim121.png,-2.00,-2.00,432.47,432.47)	pic(stim122.png,-2.00,-2.00,432.47,432.47)	pic(stim123.png,-2.00,-2.00,432.47,432.47)	pic(stim124.png,-2.00,-2.00,432.47,432.47)	pic(stim125.png,-2.00,-2.00,432.47,432.47)	pic(stim126.png,-2.00,-2.00,432.47,432.47)	pic(stim127.png,-2.00,-2.00,432.47,432.47)	pic(stim128.png,-2.00,-2.00,432.47,432.47)	pic(stim129.png,-2.00,-2.00,432.47,432.47)	pic(stim130.png,-2.00,-2.00,432.47,432.47)
14	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim131.png,-2.00,-2.00,432.47,432.47)	pic(stim132.png,-2.00,-2.00,432.47,432.47)	pic(stim133.png,-2.00,-2.00,432.47,432.47)	pic(stim134.png,-2.00,-2.00,432.47,432.47)	pic(stim135.png,-2.00,-2.00,432.47,432.47)	pic(stim136.png,-2.00,-2.00,432.47,432.47)	pic(stim137.png,-2.00,-2.00,432.47,432.47)	pic(stim138.png,-2.00,-2.00,432.47,432.47)	pic(stim139.png,-2.00,-2.00,432.47,432.47)	pic(stim140.png,-2.00,-2.00,432.47,432.47)
15	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim141.png,-2.00,-2.00,432.47,432.47)	pic(stim142.png,-2.00,-2.00,432.47,432.47)	pic(stim143.png,-2.00,-2.00,432.47,432.47)	pic(stim144.png,-2.00,-2.00,432.47,432.47)	pic(stim145.png,-2.00,-2.00,432.47,432.47)	pic(stim146.png,-2.00,-2.00,432.47,432.47)	pic(stim147.png,-2.00,-2.00,432.47,432.47)	pic(stim148.png,-2.00,-2.00,432.47,432.47)	pic(stim149.png,-2.00,-2.00,432.47,432.47)	pic(stim150.png,-2.00,-2.00,432.47,432.47)
16	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim151.png,-2.00,-2.00,432.47,432.47)	pic(stim152.png,-2.00,-2.00,432.47,432.47)	pic(stim153.png,-2.00,-2.00,432.47,432.47)	pic(stim154.png,-2.00,-2.00,432.47,432.47)	pic(stim155.png,-2.00,-2.00,432.47,432.47)	pic(stim156.png,-2.00,-2.00,432.47,432.47)	pic(stim157.png,-2.00,-2.00,432.47,432.47)	pic(stim158.png,-2.00,-2.00,432.47,432.47)	pic(stim159.png,-2.00,-2.00,432.47,432.47)	pic(stim160.png,-2.00,-2.00,432.47,432.47)
17	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim161.png,-2.00,-2.00,432.47,432.47)	pic(stim162.png,-2.00,-2.00,432.47,432.47)	pic(stim163.png,-2.00,-2.00,432.47,432.47)	pic(stim164.png,-2.00,-2.00,432.47,432.47)	pic(stim165.png,-2.00,-2.00,432.47,432.47)	pic(stim166.png,-2.00,-2.00,432.47,432.47)	pic(stim167.png,-2.00,-2.00,432.47,432.47)	pic(stim168.png,-2.00,-2.00,432.47,432.47)	pic(stim169.png,-2.00,-2.00,432.47,432.47)	pic(stim170.png,-2.00,-2.00,432.47,432.47)
18	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim171.png,-2.00,-2.00,432.47,432.47)	pic(stim172.png,-2.00,-2.00,432.47,432.47)	pic(stim173.png,-2.00,-2.00,432.47,432.47)	pic(stim174.png,-2.00,-2.00,432.47,432.47)	pic(stim175.png,-2.00,-2.00,432.47,432.47)	pic(stim176.png,-2.00,-2.00,432.47,432.47)	pic(stim177.png,-2.00,-2.00,432.47,432.47)	pic(stim178.png,-2.00,-2.00,432.47,432.47)	pic(stim179.png,-2.00,-2.00,432.47,432.47)	pic(stim180.png,-2.00,-2.00,432.47,432.47)
19	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim181.png,-2.00,-2.00,432.47,432.47)	pic(stim182.png,-2.00,-2.00,432.47,432.47)	pic(stim183.png,-2.00,-2.00,432.47,432.47)	pic(stim184.png,-2.00,-2.00,432.47,432.47)	pic(stim185.png,-2.00,-2.00,432.47,432.47)	pic(stim186.png,-2.00,-2.00,432.47,432.47)	pic(stim187.png,-2.00,-2.00,432.47,432.47)	pic(stim188.png,-2.00,-2.00,432.47,432.47)	pic(stim189.png,-2.00,-2.00,432.47,432.47)	pic(stim190.png,-2.00,-2.00,432.47,432.47)
20	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim191.png,-2.00,-2.00,432.47,432.47)	pic(stim192.png,-2.00,-2.00,432.47,432.47)	pic(stim193.png,-2.00,-2.00,432.47,432.47)	pic(stim194.png,-2.00,-2.00,432.47,432.47)	pic(stim195.png,-2.00,-2.00,432.47,432.47)	pic(stim196.png,-2.00,-2.00,432.47,432.47)	pic(stim197.png,-2.00,-2.00,432.47,432.47)	pic(stim198.png,-2.00,-2.00,432.47,432.47)	pic(stim199.png,-2.00,-2.00,432.47,432.47)	pic(stim200.png,-2.00,-2.00,432.47,432.47)
21	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim201.png,-2.00,-2.00,432.47,432.47)	pic(stim202.png,-2.00,-2.00,432.47,432.47)	pic(stim203.png,-2.00,-2.00,432.47,432.47)	pic(stim204.png,-2.00,-2.00,432.47,432.47)	pic(stim205.png,-2.00,-2.00,432.47,432.47)	pic(stim206.png,-2.00,-2.00,432.47,432.47)	pic(stim207.png,-2.00,-2.00,432.47,432.47)	pic(stim208.png,-2.00,-2.00,432.47,432.47)	pic(stim209.png,-2.00,-2.00,432.47,432.47)	pic(stim210.png,-2.00,-2.00,432.47,432.47)
22	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim211.png,-2.00,-2.00,432.47,432.47)	pic(stim212.png,-2.00,-2.00,432.47,432.47)	pic(stim213.png,-2.00,-2.00,432.47,432.47)	pic(stim214.png,-2.00,-2.00,432.47,432.47)	pic(stim215.png,-2.00,-2.00,432.47,432.47)	pic(stim216.png,-2.00,-2.00,432.47,432.47)	pic(stim217.png,-2.00,-2.00,432.47,432.47)	pic(stim218.png,-2.00,-2.00,432.47,432.47)	pic(stim219.png,-2.00,-2.00,432.47,432.47)	pic(stim220.png,-2.00,-2.00,432.47,432.47)
23	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim221.png,-2.00,-2.00,432.47,432.47)	pic(stim222.png,-2.00,-2.00,432.47,432.47)	pic(stim223.png,-2.00,-2.00,432.47,432.47)	pic(stim224.png,-2.00,-2.00,432.47,432.47)	pic(stim225.png,-2.00,-2.00,432.47,432.47)	pic(stim226.png,-2.00,-2.00,432.47,432.47)	pic(stim227.png,-2.00,-2.00,432.47,432.47)	pic(stim228.png,-2.00,-2.00,432.47,432.47)	pic(stim229.png,-2.00,-2.00,432.47,432.47)	pic(stim230.png,-2.00,-2.00,432.47,432.47)
24	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim231.png,-2.00,-2.00,432.47,432.47)	pic(stim232.png,-2.00,-2.00,432.47,432.47)	pic(stim233.png,-2.00,-2.00,432.47,432.47)	pic(stim234.png,-2.00,-2.00,432.47,432.47)	pic(stim235.png,-2.00,-2.00,432.47,432.47)	pic(stim236.png,-2.00,-2.00,432.47,432.47)	pic(stim237.png,-2.00,-2.00,432.47,432.47)	pic(stim238.png,-2.00,-2.00,432.47,432.47)	pic(stim239.png,-2.00,-2.00,432.47,432.47)	pic(stim240.png,-2.00,-2.00,432.47,432.47)
25	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim241.png,-2.00,-2.00,432.47,432.47)	pic(stim242.png,-2.00,-2.00,432.47,432.47)	pic(stim243.png,-2.00,-2.00,432.47,432.47)	pic(stim244.png,-2.00,-2.00,432.47,432.47)	pic(stim245.png,-2.00,-2.00,432.47,432.47)	pic(stim246.png,-2.00,-2.00,432.47,432.47)	pic(stim247.png,-2.00,-2.00,432.47,432.47)	pic(stim248.png,-2.00,-2.00,432.47,432.47)	pic(stim249.png,-2.00,-2.00,432.47,432.47)	pic(stim250.png,-2.00,-2.00,432.47,432.47)
26	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim251.png,-2.00,-2.00,432.47,432.47)	pic(stim252.png,-2.00,-2.00,432.47,432.47)	pic(stim253.png,-2.00,-2.00,432.47,432.47)	pic(stim254.png,-2.00,-2.00,432.47,432.47)	pic(stim255.png,-2.00,-2.00,432.47,432.47)	pic(stim256.png,-2.00,-2.00,432.47,432.47)	pic(stim257.png,-2.00,-2.00,432.47,432.47)	pic(stim258.png,-2.00,-2.00,432.47,432.47)	pic(stim259.png,-2.00,-2.00,432.47,432.47)	pic(stim260.png,-2.00,-2.00,432.47,432.47)
27	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim261.png,-2.00,-2.00,432.47,432.47)	pic(stim262.png,-2.00,-2.00,432.47,432.47)	pic(stim263.png,-2.00,-2.00,432.47,432.47)	pic(stim264.png,-2.00,-2.00,432.47,432.47)	pic(stim265.png,-2.00,-2.00,432.47,432.47)	pic(stim266.png,-2.00,-2.00,432.47,432.47)	pic(stim267.png,-2.00,-2.00,432.47,432.47)	pic(stim268.png,-2.00,-2.00,432.47,432.47)	pic(stim269.png,-2.00,-2.00,432.47,432.47)	pic(stim270.png,-2.00,-2.00,432.47,432.47)
28	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim271.png,-2.00,-2.00,432.47,432.47)	pic(stim272.png,-2.00,-2.00,432.47,432.47)	pic(stim273.png,-2.00,-2.00,432.47,432.47)	pic(stim274.png,-2.00,-2.00,432.47,432.47)	pic(stim275.png,-2.00,-2.00,432.47,432.47)	pic(stim276.png,-2.00,-2.00,432.47,432.47)	pic(stim277.png,-2.00,-2.00,432.47,432.47)	pic(stim278.png,-2.00,-2.00,432.47,432.47)	pic(stim279.png,-2.00,-2.00,432.47,432.47)	pic(stim280.png,-2.00,-2.00,432.47,432.47)
29	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim281.png,-2.00,-2.00,432.47,432.47)	pic(stim282.png,-2.00,-2.00,432.47,432.47)	pic(stim283.png,-2.00,-2.00,432.47,432.47)	pic(stim284.png,-2.00,-2.00,432.47,432.47)	pic(stim285.png,-2.00,-2.00,432.47,432.47)	pic(stim286.png,-2.00,-2.00,432.47,432.47)	pic(stim287.png,-2.00,-2.00,432.47,432.47)	pic(stim288.png,-2.00,-2.00,432.47,432.47)	pic(stim289.png,-2.00,-2.00,432.47,432.47)	pic(stim290.png,-2.00,-2.00,432.47,432.47)
30	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim291.png,-2.00,-2.00,432.47,432.47)	pic(stim292.png,-2.00,-2.00,432.47,432.47)	pic(stim293.png,-2.00,-2.00,432.47,432.47)	pic(stim294.png,-2.00,-2.00,432.47,432.47)	pic(stim295.png,-2.00,-2.00,432.47,432.47)	pic(stim296.png,-2.00,-2.00,432.47,432.47)	pic(stim297.png,-2.00,-2.00,432.47,432.47)	pic(stim298.png,-2.00,-2.00,432.47,432.47)	pic(stim299.png,-2.00,-2.00,432.47,432.47)	pic(stim300.png,-2.00,-2.00,432.47,432.47)
31	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim301.png,-2.00,-2.00,432.47,432.47)	pic(stim302.png,-2.00,-2.00,432.47,432.47)	pic(stim303.png,-2.00,-2.00,432.47,432.47)	pic(stim304.png,-2.00,-2.00,432.47,432.47)	pic(stim305.png,-2.00,-2.00,432.47,432.47)	pic(stim306.png,-2.00,-2.00,432.47,432.47)	pic(stim307.png,-2.00,-2.00,432.47,432.47)	pic(stim308.png,-2.00,-2.00,432.47,432.47)	pic(stim309.png,-2.00,-2.00,432.47,432.47)	pic(stim310.png,-2.00,-2.00,432.47,432.47)
32	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim311.png,-2.00,-2.00,432.47,432.47)	pic(stim312.png,-2.00,-2.00,432.47,432.47)	pic(stim313.png,-2.00,-2.00,432.47,432.47)	pic(stim314.png,-2.00,-2.00,432.47,432.47)	pic(stim315.png,-2.00,-2.00,432.47,432.47)	pic(stim316.png,-2.00,-2.00,432.47,432.47)	pic(stim317.png,-2.00,-2.00,432.47,432.47)	pic(stim318.png,-2.00,-2.00,432.47,432.47)	pic(stim319.png,-2.00,-2.00,432.47,432.47)	pic(stim320.png,-2.00,-2.00,432.47,432.47)
33	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim321.png,-2.00,-2.00,432.47,432.47)	pic(stim322.png,-2.00,-2.00,432.47,432.47)	pic(stim323.png,-2.00,-2.00,432.47,432.47)	pic(stim324.png,-2.00,-2.00,432.47,432.47)	pic(stim325.png,-2.00,-2.00,432.47,432.47)	pic(stim326.png,-2.00,-2.00,432.47,432.47)	pic(stim327.png,-2.00,-2.00,432.47,432.47)	pic(stim328.png,-2.00,-2.00,432.47,432.47)	pic(stim329.png,-2.00,-2.00,432.47,432.47)	pic(stim330.png,-2.00,-2.00,432.47,432.47)
34	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim331.png,-2.00,-2.00,432.47,432.47)	pic(stim332.png,-2.00,-2.00,432.47,432.47)	pic(stim333.png,-2.00,-2.00,432.47,432.47)	pic(stim334.png,-2.00,-2.00,432.47,432.47)	pic(stim335.png,-2.00,-2.00,432.47,432.47)	pic(stim336.png,-2.00,-2.00,432.47,432.47)	pic(stim337.png,-2.00,-2.00,432.47,432.47)	pic(stim338.png,-2.00,-2.00,432.47,432.47)	pic(stim339.png,-2.00,-2.00,432.47,432.47)	pic(stim340.png,-2.00,-2.00,432.47,432.47)
35	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim341.png,-2.00,-2.00,432.47,432.47)	pic(stim342.png,-2.00,-2.00,432.47,432.47)	pic(stim343.png,-2.00,-2.00,432.47,432.47)	pic(stim344.png,-2.00,-2.00,432.47,432.47)	pic(stim345.png,-2.00,-2.00,432.47,432.47)	pic(stim346.png,-2.00,-2.00,432.47,432.47)	pic(stim347.png,-2.00,-2.00,432.47,432.47)	pic(stim348.png,-2.00,-2.00,432.47,432.47)	pic(stim349.png,-2.00,-2.00,432.47,432.47)	pic(stim350.png,-2.00,-2.00,432.47,432.47)
36	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim351.png,-2.00,-2.00,432.47,432.47)	pic(stim352.png,-2.00,-2.00,432.47,432.47)	pic(stim353.png,-2.00,-2.00,432.47,432.47)	pic(stim354.png,-2.00,-2.00,432.47,432.47)	pic(stim355.png,-2.00,-2.00,432.47,432.47)	pic(stim356.png,-2.00,-2.00,432.47,432.47)	pic(stim357.png,-2.00,-2.00,432.47,432.47)	pic(stim358.png,-2.00,-2.00,432.47,432.47)	pic(stim359.png,-2.00,-2.00,432.47,432.47)	pic(stim360.png,-2.00,-2.00,432.47,432.47)
37	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim361.png,-2.00,-2.00,432.47,432.47)	pic(stim362.png,-2.00,-2.00,432.47,432.47)	pic(stim363.png,-2.00,-2.00,432.47,432.47)	pic(stim364.png,-2.00,-2.00,432.47,432.47)	pic(stim365.png,-2.00,-2.00,432.47,432.47)	pic(stim366.png,-2.00,-2.00,432.47,432.47)	pic(stim367.png,-2.00,-2.00,432.47,432.47)	pic(stim368.png,-2.00,-2.00,432.47,432.47)	pic(stim369.png,-2.00,-2.00,432.47,432.47)	pic(stim370.png,-2.00,-2.00,432.47,432.47)
38	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim371.png,-2.00,-2.00,432.47,432.47)	pic(stim372.png,-2.00,-2.00,432.47,432.47)	pic(stim373.png,-2.00,-2.00,432.47,432.47)	pic(stim374.png,-2.00,-2.00,432.47,432.47)	pic(stim375.png,-2.00,-2.00,432.47,432.47)	pic(stim376.png,-2.00,-2.00,432.47,432.47)	pic(stim377.png,-2.00,-2.00,432.47,432.47)	pic(stim378.png,-2.00,-2.00,432.47,432.47)	pic(stim379.png,-2.00,-2.00,432.47,432.47)	pic(stim380.png,-2.00,-2.00,432.47,432.47)
39	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim381.png,-2.00,-2.00,432.47,432.47)	pic(stim382.png,-2.00,-2.00,432.47,432.47)	pic(stim383.png,-2.00,-2.00,432.47,432.47)	pic(stim384.png,-2.00,-2.00,432.47,432.47)	pic(stim385.png,-2.00,-2.00,432.47,432.47)	pic(stim386.png,-2.00,-2.00,432.47,432.47)	pic(stim387.png,-2.00,-2.00,432.47,432.47)	pic(stim388.png,-2.00,-2.00,432.47,432.47)	pic(stim389.png,-2.00,-2.00,432.47,432.47)	pic(stim390.png,-2.00,-2.00,432.47,432.47)
40	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim391.png,-2.00,-2.00,432.47,432.47)	pic(stim392.png,-2.00,-2.00,432.47,432.47)	pic(stim393.png,-2.00,-2.00,432.47,432.47)	pic(stim394.png,-2.00,-2.00,432.47,432.47)	pic(stim395.png,-2.00,-2.00,432.47,432.47)	pic(stim396.png,-2.00,-2.00,432.47,432.47)	pic(stim397.png,-2.00,-2.00,432.47,432.47)	pic(stim398.png,-2.00,-2.00,432.47,432.47)	pic(stim399.png,-2.00,-2.00,432.47,432.47)	pic(stim400.png,-2.00,-2.00,432.47,432.47)
41	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim401.png,-2.00,-2.00,432.47,432.47)	pic(stim402.png,-2.00,-2.00,432.47,432.47)	pic(stim403.png,-2.00,-2.00,432.47,432.47)	pic(stim404.png,-2.00,-2.00,432.47,432.47)	pic(stim405.png,-2.00,-2.00,432.47,432.47)	pic(stim406.png,-2.00,-2.00,432.47,432.47)	pic(stim407.png,-2.00,-2.00,432.47,432.47)	pic(stim408.png,-2.00,-2.00,432.47,432.47)	pic(stim409.png,-2.00,-2.00,432.47,432.47)	pic(stim410.png,-2.00,-2.00,432.47,432.47)
42	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim411.png,-2.00,-2.00,432.47,432.47)	pic(stim412.png,-2.00,-2.00,432.47,432.47)	pic(stim413.png,-2.00,-2.00,432.47,432.47)	pic(stim414.png,-2.00,-2.00,432.47,432.47)	pic(stim415.png,-2.00,-2.00,432.47,432.47)	pic(stim416.png,-2.00,-2.00,432.47,432.47)	pic(stim417.png,-2.00,-2.00,432.47,432.47)	pic(stim418.png,-2.00,-2.00,432.47,432.47)	pic(stim419.png,-2.00,-2.00,432.47,432.47)	pic(stim420.png,-2.00,-2.00,432.47,432.47)
43	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim421.png,-2.00,-2.00,432.47,432.47)	pic(stim422.png,-2.00,-2.00,432.47,432.47)	pic(stim423.png,-2.00,-2.00,432.47,432.47)	pic(stim424.png,-2.00,-2.00,432.47,432.47)	pic(stim425.png,-2.00,-2.00,432.47,432.47)	pic(stim426.png,-2.00,-2.00,432.47,432.47)	pic(stim427.png,-2.00,-2.00,432.47,432.47)	pic(stim428.png,-2.00,-2.00,432.47,432.47)	pic(stim429.png,-2.00,-2.00,432.47,432.47)	pic(stim430.png,-2.00,-2.00,432.47,432.47)
44	1	1	CurveTuning_V4	fix(0.00,0.00)	pic(stim431.png,-2.00,-2.00,432.47,432.47)	pic(stim432.png,-2.00,-2.00,432.47,432.47)	pic(stim433.png,-2.00,-2.00,432.47,432.47)	pic(stim434.png,-2.00,-2.00,432.47,432.47)	pic(stim435.png,-2.00,-2.00,432.47,432.47)	pic(stim436.png,-2.00,-2.00,432.47,432.47)	pic(stim437.png,-2.00,-2.00,432.47,432.47)	pic(stim438.png,-2.00,-2.00,432.47,432.47)	pic(stim439.png,-2.00,-2.00,432.47,432.47)	pic(stim440.png,-2.00,-2.00,432.47,432.47)
